Seni Budaya Kelas X,Text,"Cetakan Ke-3, 2016",978-602-427-142-8,Pusat Kurikulum dan Perbukuan,2016,Seni Budaya,,,Indonesia,jakarta,NONE,,,,<Zackaria Soetedja><Dewi Suryati><Milasari><Agus Supriatna>,,<13299><13300><13301><13302><13303><13304><13305><13306><13307><13308><13309><13310><13311><13312><13313><13314><13315><13316><13317><13318><13319><13320><13321><13322><13323><13324><13325><13326><13327><13328><13329><13330><13331><13332><13333><13334><13335><13336><13337><13338><13339><13340><13341><13342><13343><13344><13345><13346><13347><13348><13349><13350><13351><13352><13353><13354><13355><13356><13357><13358><13359><13360><13361><13362><13363><13364><13365><13366><13367><13368><13369><13370><13371><13372><13373><13374><13375><13376><13377><13378><13379><13380><13381><13382><13383><13384><13385><13386><13387><13388><13389><13390><13391><13392><13393><13394><13395><13396><13397><13398><13399><13400><13401><13402><13403><13404><13405><13406><13407><13408><13409><13410><13411><13412><13413><13414><13415><13416><13417><13418><13419><13420><13421><13422><13423><13424><13425><13426><13427><13428><13429><13430><13431><13432><13433><13434><13435><13436><13437><13438><13439><13440><13441><13442><13443><13444><13445><13446><13447><13448><13449><13450><13451><13452><13453><13454><13455><13456><13457><13458><13459><13460><13461><13462><13463><13464><13465><13466><13467><13468><13469><13470><13471><13472><13473><13474><13475><13476><13477><13478><13479><13480><13481><13482><13483><13484><13485><13486><13487><13488><13489><13490><13491><14089><14090><14091><14092><14093><14094><14095><14096><14097><14098><14099><14100><14101><14102><14103><14104><14105><14106><14107><14108><14109><14110><14111><14112><14113><14114><14115><14116><14117><14118><14119><14120><14121><14122><14123><14124><14125><14126><14127><14128><14129><14130><14131><14132><14133><14134><14135><14136><14137><14138><14139><14140><14141><14142><14143><14144><14145><14146><14147><14148><14149><14150><14151><14152><14153><14154><14155><14156><14157>
Ekonomi 3 Kelas XII (Buku Guru),Text,Cetakan Ke 1,978-979-040-409-0,PT Wangsa Jatra Lestari,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Sutarno><Sunarto><Sudarno>,,<11121><11122>
Pendidikan Pancasila dan Kewarganegaraan Kelas XII (Buku Guru),Text,"Cetakan Ke-2, 2018",978-602-427-094-0,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Mohamad Sodeli><Yusanawan Lubis>,,<11.123><11.124><11.125>
Pendidikan Katolik dan Budi Pekerti Kelas XII (Buku Guru),Text,EDISI REVISI 2014,978-602-282-6,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakarta,NONE,,,,"<DR.Vincentius Darmin Mbula,OFM>",,<11000><11001>
Sosiologi 3 Kelas  XII (Buku Guru),Text,Kurikulum 2013,978-979-040-405-2,PT Wangsa Jatra Lestari,2014,Buku Guru,,,Indonesia,Solo,NONE,,,,<Dwi Mulyono><Rizal Qosim>,,<11128><11129><11.130>
Kajian  Konsep Fisika 2 Kelas XI (Buku Guru),Text,Edisi Revisi,978-602-257-408-8,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Muhammad Farchani Rosyid><Atsnaita Yasrina><Eko Firmansah Rachmad Resmiyanto>,,<11127>
Menjelajah Dunia Biologi 2 Kelas XI (Buku guru),Text,Edisi Revisi 2016,978-602-257-404-0,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Sri Pujiyanto><Rejeki Siti Ferniah>,,<11131><11132>
Prakarya dan Kewirausahaan Kelas X (Buku Guru),Text,"Cetakan Ke-3, 2017",978-602-427-160-2,Pusat Kurikulum dan Perbukuan,2017,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Hendriana Werdhaningsih><Rinrin Jamriati><Alberta Haryudanti><Desta Wirmas>,,<11133><11134><11135>
Pendidikan Pancasila dan Kewarganegaraan Kelas XII (Buku Guru),Text,"Cetakan Ke-1, 2015",978-602-282-476-3,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Mohamad Sodeli><Yusanawan Lubis>,,<11140><11141><11142>
Prakarya dan Kewirausahaan Kelas XII (Buku Guru),Text,"Cetakan Ke-1, 2015",978-602-282-454-1,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Wawat Naswati><Hendriana Werdhaningsih><Desta Wirmas><Slamet Budijantoi>,,<11136><11137><11138><11139>
Pendidikan  Agama Islam dan Budi Pekerti Kelas XII (Buku Guru),Text,"Cetakan Ke-1, 2015",978-602-282-405-3,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Feisal Ghozali><HA. Sholeh Dimyathi>,,<11100><11101><11102><11103><11104>
Bahasa Inggris Kelas X (Buku Guru),Text,"Cetakan Ke-1, 2015",978-602-282-484-8,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,ust,NONE,,,,<Utami Widiati><Furaidah><Zuliati Rahmah>,,<11118><11119>
Bahasa Indonesia Bahasa Negeriku 2 Kelas IX (Buku Guru),Text,EDISI REVISI,978-979-040-425-0,PT Wangsa Jatra Lestari,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Atep Tatang><Dodo Suwondo><Nunu Nurasa><Nenden Lilis Aisyah>,,<11010><11011><11012><11013><11014>
Pendidikan Katolik dan Budi Pekerti Kelas XII (Buku Guru),Text,Cetakan ke-1,978-602-282-6,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakarta,NONE,,,,"<DR.Vincentius Darmin Mbula,OFM><Drs.Matheus Beni Mite, M.Hum>",,<11003>
Pendidikan Agama Kristen dan Budi Pekerti Kelas XII (Buku Guru),Text,Cetakan ke-1,978-602-282-413-8,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,,NONE,,,,<Pdt. RobertbP.Borrong>,,<11004>
Seni Budaya KElas XI (Buku Guru),Text,EDISI REVISI 2017,978-602-427-149-7,Pusat Kurikulum dan Perbukuan,2017,Buku Guru,,,Indonesia,,NONE,,,,<M. Yoesoef><Bintang Hanggoro Putra><Eko Santoso><Nur Sahid><Rita Milyartini><Dinny Devi Triana><Djohan><Muksin><Widia Pekerti>,,<11015><11016><11017><11018><11019>
Ekonomi 2 Kelas XI (Buku Guru),Text,EDISI REVISI,978-602-257-444-6,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Endang Mulyani><Asep Nurcahyanto>,,<11020><11021><11022>
Prakarya dan Kewirausahaan Kelas XII (Buku Guru),Text,EDISI REVISI 2018,978-602-427-160-2,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Wawat Naswati><Hendriana Werdhaningsih><Desta Wirnas><Rinrin Jamriati>,,<11023><11024><11025>
Bahasa Inggris Kelas XII (Buku Guru),Text,EDISI REVISI 2018,978-602-427-110-7,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Utami Widiati><Zuliati Rohmah><Furaidah>,,<11029><11030><11031>
"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas XII (Buku Guru)",Text,EDISI REVISI 2018,978-602-427-134-3,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Suroto><Taufiq Hidayah>,,<11032><11034>
Pendidikan Agama dan Budi Pekerti Kelas XI (Buku Guru),Text,EDISI REVISI 2017,978-602-427-046-9,Pusat Kurikulum dan Perbukuan,2017,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Asep Nursobah dan Ismail>,,<11005><11006><11007><11008><11009><11035>
Sejarah Indonesia Kelas XI (Buku Guru),Text,EDISI REVISI 2017,978-602-427-126-8,Pusat Kurikulum dan Perbukuan,2017,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Sardiman AM><Amuewani Dwi Lestariningsih>,,<11036>
Seni Budaya Kelas XII (Buku Guru),Text,EDISI REVISI 2018,978-602-427-149-7,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Agus Budiman><Dewi Suryati Budiwati><Sukanta><Zakaria S.Soeteja>,,<11037><11038><11042>
Be Smart in English 3 Kelas XII (Buku Guru),Text,EDISI REVISI,978-979-040-429-8,PT Wangsa Jatra Lestari,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Ira Wijayanti><Nitya Jwalita><Kristin Ambarwati><Mariyana>,,<11039><11040><11041>
"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas XII (Buku Guru)",Text,"Cetakan ke-1,2015",978-602-282-468-8,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakata,NONE,,,,<Suroto><Taufiq Hidayah>,,<11057><11058><11059><11060><11061>
Perspektif Matematika 2 Kelas XI (Buku Guru),Text,EDISI REVISI,978-602-257-400-2,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Rosihan Ari Yuana><Indriyastuti>,,<11056>
Pendidikan Agama Islam dan Budi Pekerti Kelas XII (Buku Guru),Text,EDISI REVISI 2018,978-602-427-046-9,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Feisal Ghozali><HA. Sholeh Dimyathi>,,<11055>
Bahasa Indonesia Kebangggaan Bangsaku 3 Kelas XII (Buku Guru),Text,EDISI REVISI,978-602-257-464-4,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Anang Krisdiyanto><Roni Sulistyono><Trisni Sulistiyowati>,,<11054>
Kajian Konsep Fisika (Buku Guru),Text,EDISI REVISI,978-602-257-408-8,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Muhammad Farchani Rosyid><Rachmad Resmiyanto><Atsnaita Yasrina><Eko Firmansah>,,<11052><11053>
Matematika Kelas XII (Buku Guru),Text,EDISI REVISI 2018,978-602-427-118-3,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Abdur Rahman As\'ari><Tjang Daniel Chandra><Ipung Yuwono><Lathiful Anwar><Syaiful Hamzah Nasution><Dahliatul Hasanah><Makbul Muksar><Vita Kusuma Sari><Nur Atikah>,,<11050><11051>
Menjelajah Dunia Biologi Kelas XII (Buku Guru),Text,EDISI REVISI,978-602-257-404-0,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Sri Pujiyanto><Rejeki Siti Ferniah>,,<11048><11049>
Sejarah Indonesia Kelas XII (Buku Guru),Text,EDISI REVISI 2018,978-602-427-126-8,Pusat Kurikulum dan Perbukuan,2018,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Arif Pradono><Linda Sunarti><Susanto Zuhdi><Abdurkhman>,,<11046><11047>
Be Smart in English 2 Kelas XI (Buku Guru),Text,EDISI REVISI,978-979-040-429-8,PT Wangsa Jatra Lestari,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Ira Wijayanti><Nitya Jwalita><Kristin Ambarwati><Mariyana>,,<11043><11044><11045>
Geografi  2 Kelas XI (Buku Guru),Text,Edisi Revisi,978-979-040-397-0,PT Wangsa Jatra Lestari,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Bambang Nianto Mulyo><Purwandi Suhandini>,,<11126>
Seni Budaya Kelas X,Text,"Cetakan Ke-3, 2017",978-602-427-142-8,Pusat Kurikulum dan Perbukuan,2017,Seni Budaya,,,Indonesia,jakarta,NONE,,,,<Zackaria Soetedja><Dewi Suryati><Milasari><Agus Supriatna>,,<13492><13493><13494><13495><13496><13497><13498><13499><13500><13501><13502><13503><13504><13505><13506><13507><13508><13509><13510><13511><13512><13513>
"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas X",Text,"Cetakan Ke-1, 2014",978-602-282-464-0,Pusat Kurikulum dan Perbukuan,2014,"Pendidikan Jasmani, Olahraga, dan Kesehatan",,,Indonesia,jakarta,NONE,,,,<Sudrajat Wiradihardja><Syarifudin>,,<14087><14088>
Prakarya dan Kewirausahaan Kelas X,Text,"Cetakan Ke-1, 2014",978-602-282-449-7,Pusat Kurikulum dan Perbukuan,2014,Prakarya dan Kewirausahaan,,,Indonesia,jakarta,NONE,,,,<Hendriana Werdhaningsih><Alberta Haryudanti><Desta Wirmas><Slamet Budijantoi>,,<14487>
Bahasa Indonesia Kelas X,Text,"Cetakan Ke-4, 2017",978-602-427-098-8,Pusat Kurikulum dan Perbukuan,2017,Bahasa Indonesia,,,Indonesia,jakarta,NONE,,,,<Maman Suryaman><Suherli><Istiqomah><Aji Septiaji>,,<13880><13881><13882><13883>
"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas X",Text,"Cetakan Ke-3, 2017",978-602-427-130-5,Pusat Kurikulum dan Perbukuan,2017,"Pendidikan Jasmani, Olahraga, dan Kesehatan",,,Indonesia,jakarta,NONE,,,,<Sudrajat Wiradihardja><Syarifudin>,,<14027><14028><14029><14030><14031><14032><14033><14034><14035><14036><14037><14038><14039><14040><14041><14042><14043><14044><14045><14046><14047><14048><14049><14050><14051><14052><14053><14054><14055><14056><14057><14058><14059><14060><14061><14062><14063><14064><14065><14066><14067><14068><14069><14070><14071><14072><14073><14074><14075><14076><14077><14078><14079><14080><14081><14082><14083><14084><14085><14086>
Prakarya dan Kewirausahaan Kelas X,Text,"Cetakan Ke-2, 2016",978-602-427-153-4,Pusat Kurikulum dan Perbukuan,2016,Prakarya dan Kewirausahaan,,,Indonesia,jakarta,NONE,,,,<Hendriana Werdhaningsih><Rinrin Jamriati><Alberta Haryudanti><Desta Wirmas>,,<14158><14159><14160><14161><14162><14163><14164><14165><14166><14167><14168><14169><14170><14171><14172><14173><14174><14175><14176><14177><14178><14179><14180><14181><14182><14183><14184><14185><14186><14187><14188><14189><14190><14191><14192><14193><14194><14195><14196><14197><14198><14199><14200><14201><14202><14203><14204><14205><14206><14207><14208><14209><14210><14211><14212><14213><14214><14215><14216><14217><14218><14219><14220><14221><14222><14223><14224><14225><14226><14227><14228><14229><14230><14231><14232><14234><14235><14236><14237><14238><14239><14240><14241><14242><14243><14245><14246><14247><14248><14249><14250><14251><14252><14253><14254><14255><14256><14257><14258><14259><14260><14261><14262><14263><14264><14265><14266><14267><14268><14269><14270><14271><14272><14273><14274><14275><14276><14277><14278><14279><14280><14281><14282><14283><14284><14285><14286><14287><14288><14289><14290><14291><14292><14293><14294><14295><14296><14297><14298><14299><14300><14301><14302><14303><14304><14305><14306><14307><14308><14309><14310><14311><14312><14313><14314><14315><14316><14317><14318><14319><14320><14321><14322><14323><14324><14325><14326><14327><14328><14329><14330><14331><14332><14333><14334><14335><14336><14337><14338><14339><14340><14341><14342><14343><14344><14345><14346><14347><14348><14349><14350><14351><14352><14353><14354><14355><14356><14357><14358><14359><14360><14361><14362><14363><14364><14365><14366><14367><14368><14369><14370><14371><14372><14373><14374><14375><14376><14377><14378><14379><14380><14381><14382><14383><14384><14385><14386><14387><14388><14389><14390><14391><14392><14393><14394><14395><14396><14397><14398><14399><14400><14401><14402><14403><14404><14405><14406><14407><14409><14410><14411><14412><14413><14414><14415><14416><14417>
Bahasa Inggris Kelas X,Text,EDISI REVISI 2016,978-602-427-106-0,Pusat Kurikulum dan Perbukuan,2016,Bahasa Inggris,,,Indonesia,jakarta,NONE,,,,<Utami Widiati><Zuliati Rohmah><Furaidah>,,<13154><13155><13156><13157><13158><13159><13160><13161><13162><13163><13164><13165><13166><13167><13168><13169><13170><13171><13172><13173><13174><13175><13176><13177><13178><13179><13180><13181><13182><13183><13184><13185><13186><13187><13188><13189><13190><13191><13192><13193><13194><13195><13196><13197><13198><13199><13200><13201><13202><13203><13204><13205><13206><13207><13208><13209><13210><13211><13212><13213><13214><13215><13216><13217><13219><13220><13221><13222><13223><13224><13225><13226><13227><13228><13229><13230><13231><13233><13234><13235><13236><13237><13238><13239><13240><13241><13242><13243><13244><13245><13246><13247><13248><13249><13250><13251><13252><13253><13254><13255><13256><13258><13259><13260><13261><13262><13263><13264><13265><13266><13267><13268><13269><13270><13271><13272><13273><13274><13275><13276><13277><13278><13279><13280><13281><13282><13283><13284><13285><13286><13287><13288><13289><13290><13291><13292><13293><13294><13295><13296><13297><13298><14488><14658>
Prakarya dan Kewirausahaan Kelas X,Text,"Cetakan Ke-3, 2017",978-602-427-153-4,Pusat Kurikulum dan Perbukuan,2017,Prakarya dan Kewirausahaan,,,Indonesia,jakarta,NONE,,,,<Hendriana Werdhaningsih><Rinrin Jamriati><Alberta Haryudanti><Desta Wirmas>,,<14418><14419><14420><14421><14422><14423><14424><14425><14426><14427><14428><14429><14430><14431><14432><14433><14434><14435><14436><14437><14438><14439><14440><14441><14442><14443><14444><14445><14446><14447><14448><14449><14450><14451><14452><14453><14454><14455><14456><14457><14458><14459><14460><14461><14462><14463><14464><14465><14466><14467><14468><14469><14470><14471><14472><14473><14474><14475><14476><14477><14478><14479><14480><14481><14482><14483><14484><14485><14486>
Pendidikan Agama Islam dan Budi Pekerti Kelas X,Text,"Cetakan Ke-2, 2016",978-602-427-042-1,Pusat Kurikulum dan Perbukuan,2016,Agama,,,Indonesia,jakarta,NONE,,,,<Nelty Khairiyah><Endi Suhendi Zen>,,<11062><11063><11064><11065><11066><11067><11068><11069><11070><11071><11072><11073><11074><11075><11076><11077><11078><11079><11080><11081><11082><11083><11084><11085><11086><11087><11088><11089><11090><11091><11092><11093><11094><11095><11096><11097><11098><11099>
Seni Budaya Kelas X Semester 2,Text,"Cetakan Ke-3, 2017",978-602-427-142-8,Pusat Kurikulum dan Perbukuan,2017,Seni Budaya,,,Indonesia,jakarta,NONE,,,,<Zackaria Soetedja><Dewi Suryati><Milasari><Agus Supriatna>,,<13.514><13.515><13.516><13.517><13.518><13.519><13.520><13.521><13.522><13.523><13.524><13.525><13.526><13.527><13.528><13.529><13.530><13.531><15.532><13.532><13.533><13.534><13.535><13.536><13.537><13.538><13.539><13.540><13.541><13.542><13.543><13.544><13.545><13.546><13.547><13.548><13.549><13.550><13.551><13.552><13.553><13.554><13.555><13.556><13.557><13.558><13.559><13.560><13.561><13.562><13.563><13.564><13.565><13.566><13.567><13.568><13.569><13.570><13.571><13.572><13.573><13.574><13.575><13.576><13.577><13.578><13.579><13.580><13.581><13.582><13.583><13.584><13.585><13.586><13.587>
Sejarah Indonesia Kelas X,Text,"Cetakan Ke-3, 2016",978-602-427-126-8,Pusat Kurikulum dan Perbukuan,2016,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Amurwani Dwi Lestariningsih><Restu Gunawan><Sardiman>,,<11.115><11.116><11.117>
Pendidikan Katolik dan Budi Pekerti Kelas XII,Text,"Cetakan Ke-1, 2015",978-602-282-417-6,Pusat Kurikulum dan Perbukuan,2015,Buku Guru,,,Indonesia,jakarta,NONE,,,,"<DR. Vincentius Darmin Mbula, OFM><Drs. Matheus Beni Mite, M.Hum>",,<11.113>
Bahasa Indonesia Kebanggaan Bangsaku Kelas XII,Text,Cetakan Ke 1,978-602-257-464-4,PT Tiga Serangkai Pustaka Mandiri,2016,,,,Indonesia,,NONE,,,,<Anang Krisdiyanto><Roni Sulistyono><Trisni Sulityowati>,,<11.114>
Pendidikan Pancasila dan Kewarganegaraan Kelas X,Text,"Cetakan Ke-1, 2014",978-602-427-094-0,Pusat Kurikulum dan Perbukuan,2014,,,,Indonesia,jakarta,NONE,,,,<Tolib><Nuryadi>,,<11.110><11.111><11.112>
Pendidikan Agama Islam dan Budi Pekerti Kelas XII,Text,"Cetakan Ke-3, 2018",978-602-427-046-9,Pusat Kurikulum dan Perbukuan,2018,,,,Indonesia,jakarta,NONE,,,,<Feisal Ghozali><HA. Sholeh Dimyathi>,,<11.105><11.106>
MATEMATIKA Sebagai Alat Bantu,Text,Cetakan Ke 2,978-979-1391-72-6,PT. Kandel,2010,Olimpiade,,,Indonesia,Tangerang,NONE,,,,<Prof. Yohanes Surya Ph.D>,,<5190>
Pendidikan Agama Islam dan Budi Pekerti Kelas XI,Text,EDISI REVISI 2017,978-602-427-042-1,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,Agama,,,Indonesia,jakarta,NONE,,,,,,
Bahasa Indonesia Bahasa Negeriku Kelas XI (Peminatan),Text,EDISI REVISI,978-979-040-413-7,PT Wangsa Jatra Lestari,2016,Bahasa Indonesia Peminatan,,,Indonesia,Solo,NONE,,,,,,
Prakarya dan Kewirausahaan Kelas XI Semester 2,Text,EDISI REVISI 2017,978-602-427-153-4,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,PKWU,,,Indonesia,jakarta,NONE,,,,,,
Prakarya dan Kewirausahaan Kelas XI Semester 1,Text,EDISI REVISI 2017,978-602-427-153-4,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,PKWU,,,Indonesia,jakarta,NONE,,,,,,
Sejarah Indonesia Kelas XI Semester 2,Text,EDISI REVISI 2017,978-602-427-122-0,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,Sejarah Indonesia,,,Indonesia,jakarta,NONE,,,,,,
Sejarah Indonesia Kelas XI Semester 1,Text,EDISI REVISI 2017,978-602-427-122-0,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,Sejarah Indonesia,,,Indonesia,jakarta,NONE,,,,,,
"Pendidikan Jasmani, Olahraga dan Kesehatan Kelas XI",Text,EDISI REVISI 2017,978-602-427-130-5,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,,,,Indonesia,jakarta,NONE,,,,,,
Bahasa Indonesia Kelas XI,Text,EDISI REVISI 2017,978-602--427-098-8,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,Bahasa Indonesia,,,Indonesia,jakarta,NONE,,,,,,
Be Smart in English Kelas Xi,Text,EDISI REVISI,978-979-040-419-5,PT Wangsa Jatra Lestari,2016,Sastra Inggris,,,Indonesia,Solo,NONE,,,,<Mustahdi><Mustakim>,,<25407><25408><25409><25410><25411><25412><25413><25414><25415><25416><25417><25418><25419><25420><25421><25422><25423><25424><25425><25426><25427><25428><25429><25430><25431><25432><25433><25434><25435><25436><25437><25438><25439><25440><25441><25442><25443><25444><25445><25446><25447><25448><25449><25450><25451><25452><25453><25454><25455><25456><25457><25458><25459><25460><25461><25462><25463><25464><25465><25466><25467><25468><25469><25470><25471><25472><25473><25474><25475><25476><25477><25478><25479><25480><25481><25482><25483><25484><25485><25486><25487><25488><25489><25490><25491><25492><25493><25494><25495><25496><25497><25498><25499><25500><25501><25502><25503><25504><25505><25506><25507><25508><25509><25510><25511><25512><25513><25514><25515><25516><25517><25518><25519><25520><25521><25522><25523><25524><25525><25526><25527><25528><25529><25530><25531><25532><25533><25534><25535><25536><25537><25538><25539><25540><25541><25542><25543><25544><25545><25546><25547><25548><25549><25550><25551><25552><25553><25554><25555><25556><25557><25558><25559><25560><25561><25562><25563><25564><25565><25566><25567><25568><25569><25570><25571><25572><25573><25574><25575><25576><25577><25578><25579><25580><25581><25582><25583><25584><25585><25586><25587><25588><25589><25590><25591><25592><25593><25594><25595><25596><25597><25598><25599><25600><25601><25602><25603><25604><25605><25606><25607><25608><25609><25610><25611><25612><25613><25614><25615><25616><25617><25618><25619><25620><25621><25622><25623><25624><25625><25626><25627><25628><25629><25630><25631><25632><25633><25634><25635><25636><25637><25638><25639><25640><25641><25642><25643><25644><25645><25646><25647><25648><25649><25650><25651><25652><25653><25654><25655><25656><25657><25658><25659><25660><25661><25662><25663><25664><25665><25666><25667><25668><25669><25670><25671><25672><25673><25674><25675><25676><25677><25678><25679><25680><25681><25682><25683><25684><25685><25686><25687><25688><25689><25690><25691><25692><25693><25694><25695><25696><25697><25698><25699><25700><25701>
Bahasa Inggris Kelas XI,Text,EDISI REVISI 2017,978-602-427-106-0,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2017,Bahasa Inggris,,,Indonesia,jakarta,NONE,,,,<Atep Tatang><Dodo Suwondo><Nunu Nurasa><Nenden Lilis Aisyah>,,<25354><25355><25356><25357><25358><25359><25360><25361><25362><25363><25364><25365><25366><25367><25368><25369><25370><25371><25372><25373><25374><25375><25376><25377><25378><25379><25380><25381><25382><25383><25384><25385><25386><25387><25388><25389><25390><25391><25392><25393><25394><25395><25396><25397><25398><25399><25400><25401><25402><25403><25404><25405><25406>
Pendidikan Pancasila dan Kewarganegaraan Kelas XI K-13,Text,KURIKULUM 2013,978-602-282-471-8,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2014,PPKn,,,Indonesia,jakarta,NONE,,,,<Wawat Naswati><RR. Indah Setyowati><Heatiningsih><Miftakhodin><Cahyadi><Dwi Ayu>,,<24152><24153><24154><24155><24156><24157><24158><24159><24160><24161><24162><24163><24164><24165><24166><24167><24168><24169><24170><24171><24172><24173><24174><24175><24176><24177><24178><24179><24180><24181><24182><24183><24184><24185><24186><24187><24188><24189><24190><24191><24192><24193><24194><24195><24196><24197><24198><24199><24200><24201><24202><24203><24204><24205><24206><24207><24208><24209><24210><24211><24212><24213><24214><24215><24216><24217><24218><24219><24220><24221><24222><24223><24224><24225><24226><24227><24228><24229><24230><24231><24232><24233><24234><24235><24236><24237><24238><24239><24240><24241><24242><24243><24244><24245><24246><24247><24248><24249><24250><24251><24252><24253><24254><24255><24256><24257><24258><24259><24260><24261><24262><24263><24264><24265><24266><24267><24268><24269><24270><24271><24272><24273><24274><24275><24276><24277><24278><24279><24280><24281><24282><24283><24284><24285><24286><24287><24288><24289><24290><24291><24292><24293><24294><24295><24296><24297><24298><24299><24300><24301><24302><24303><24304><24305><24306><24307><24308><24309><24310><24311><24312><24313><24314><24315><24316><24317><24318><24319><24320><24321><24322><24323><24324><24325><24326><24327><24328><24329><24330><24331><24332><24333><24334><24335><24336><24337><24338><24339><24340><24341><24342><24343><24344><24345><24346><24347><24348><24349><24350><24351><24352><24353><24354><24355><24356><24357><24358><24359><24360><24361><24362><24363><24364><24365><24366><24367><24368><24369><24370><24371><24372><24373><24374><24375><24376><24377><24378><24379><24380><24381><24382><24383><24384><24385><24386><24387><24388><24389><24390><24391><24392><24393><24394><24395><24396><24397><24398><24399><24400><24401><24402><24403><24404><24405><24406><24407><24408><24409><24410><24411><24412><24413><24414><24415><24416><24417><24418><24419><24420><24421><24422><24423><24424><24425><24426><24427><24428><24429><24430><24431><24432><24433><24434><24435><24436><24437><24438><24439><24440><24441><24442><24443><24444><24445><24446><24447><24448><25336><25337><25338><25339><25340><25341><25342><25343><25344><25345><25346><25347><25348><25349><25350><25351><25352><25353>
