"Geografi untuk SMA/MA kelas X (Kelompok peminatan ilmu pengetahuan sosial) K2013 revisi","Text","2013 revisi","978-602-298-859-3","Penerbit Erlangga","2016","Geografi kelas X New 2020","","","Indonesia","jakarta","NONE","","","","<Yasinto Sindhu P>","","<31033><31034><31035><31036><31037><31038><31039><31040><31041><31042><31043><31044><31045><31046><31047><31048><31049><31050><31051><31052><31053><31054><31055><31056><31057><31058><31059><31060><31061><31062><31063><31064><31065><31066><31067><31068><31069>"
"Ekonomi untuk SMA/MA kelas X (Peminatan ilmu-ilmu sosial) kurukulum 2013 edisi revisi 2016","Text","revisi 2016","979-662-561-1","Cempaka Putih","2013","Ekonomi kelas X New 2020","","","Indonesia","Klaten","NONE","","","","<Anik Widiastuti><Aprilia Rachmawati><Agung Feryanto><Kartika Sari><Inung Oni Setiadi>","","<30995><30996><30997><30998><30999><31000><31001><31002><31003><31004><31005><31006><31007><31008><31009><31010><31011><31012><31013><31014><31015><31016><31017><31018><31019><31020><31021><31023><31024><31025><31026><31027><31028><31029><31030><31031><31032>"
"Sejarah Indonesia Kelas X (Buku Guru)","Text","Cetakan Ke-3, 2016","978-602-427-126-8","Pusat Kurikulum dan Perbukuan","2016","Buku Guru","","","Indonesia","jakarta","NONE","","","","<Amurwani Dwi Lestariningsih><Restu Gunawan><Sardiman>","","<11115><11116><11117>"
"Bahasa Indonesia Kebanggaan Bangsaku Peminatan Kelas XII (Buku Guru)","Text","Cetakan Ke 1","978-602-257-464-4","PT Tiga Serangkai Pustaka Mandiri","2016","Buku Guru","","","Indonesia","Solo","NONE","","","","<Anang Krisdiyanto><Roni Sulistyono><Trisni Sulityowati>","","<11114>"
"Pendidikan Agama Islam dan Budi Pekerti Kelas XII (Buku Guru)","Text","Cetakan Ke-3, 2018","978-602-427-046-9","Pusat Kurikulum dan Perbukuan","2018","Buku Guru","","","Indonesia","jakarta","NONE","","","","<Feisal Ghozali><HA. Sholeh Dimyathi>","","<11105><11106>"
"Biologi untuk SMA/MA Kelas X (Peminatan Matematika dan Ilmu-ilmu Alam) edisi revisi 2016","Text","revisi 2016","979-28-1561-0","PT Intan Pariwara","2016","Biologi kelas X New 2020","","","Indonesia","Klaten","NONE","","","","<Endah Sulistyowati><Wigati Hadi Omegawati><Muhammad Luthfi Hidayat>","","<30894><30895><30896><30897><30898><30899><30900><30901><30902><30903><30904><30905><30906><30907><30908><30909><30910><30911><30912><30913><30914><30915><30916><30917><30918><30919><30920><30921><30922><30923><30924><30925><30926><30927><30928><30929><30930><30931><30932><30933><30934><30935><30936><30937><30938><30939><30940><30941><30942><30943><30944><30945><30946><30947><30948><30949><30950><30951><30952><30953><30954><30955><30956><30957><30958><30959><30960><30961><30962><30963><30964><30966><30967><30968><30969><30970><30971><30972><30973><30974><30975><30976><30977><30978><30979><30980><30981><30982><30983><30984><30985><30986><30987><30988><30989><30990><30991><30992><30993><30994>"
"Pendidikan Pancasila dan Kewarganegaraan Kelas X","Text","Cetakan Ke-1, 2014","978-602-427-094-0","Pusat Kurikulum dan Perbukuan","2014","Pendidikan Pancasila dan Kewarganegaraan","","","Indonesia","jakarta","NONE","","","","<Tolib><Nuryadi>","","<11110><11111><11112>"
"Ramadhan Tiba Saatnya Wisata Kuliner Dunia, Sebuah Antologi Ramadhan","Text","Cetakan Tahun 2007","978-979-033-265-2","Penerbit Erlangga","2007","Agama","","","Indonesia","jakarta","NONE","","","","<Sri Hayati Asri><Khairi Rumantati>","","<16078>"
"Fiqh Siyasah Doktrin Dan Pemikiran Politik Islam","Text","Cetakan Tahun 2008","978-979-003-259-1","Penerbit Erlangga","2008","Agama","","","Indonesia","jakarta","NONE","","","","<Mujar Ibnu Syarif><Khamami Zada>","","<16077>"
"Dalil Anfus Al - Qur'an Dan Embriologi","Text","Cetakan Ke-1, 2006","979-33-0140-6","PT Tiga Serangkai Pustaka Mandiri","2006","","","","Indonesia","Solo","NONE","","","","<Muhammad Iznuddin Taufiq>","","<16076>"
"Dimensi Al - Qur'an","Text","Cetakan Ke-1, 2014","979-668-562-0","PT Tiga Serangkai Pustaka Mandiri","2014","Agama","","","Indonesia","Solo","NONE","","","","<Prof. Dr. Ahmad Fuad Pasya>","","<16075>"
"Pendidikan Islam Tradisi dan Modernisasi Menuju Milenium Baru","Text","Cetakan Ke-5, 2003","979-626-052-2","PT Logos Wacana Ilmu","2003","Agama","","","Indonesia","jakarta","NONE","","","","<Prof. Dr. Azyumardi Azra, M.A.>","","<16074>"
"Seni Budaya Kelas X Semester 2","Text","Cetakan Ke-3, 2017","978-602-427-142-8","Pusat Kurikulum dan Perbukuan","2017","Seni Budaya","","","Indonesia","jakarta","NONE","","","","<Zackaria Soetedja><Dewi Suryati><Milasari><Agus Supriatna>","","<13514><13515><13516><13517><13518><13519><13520><13521><13522><13523><13524><13525><13526><13527><13528><13529><13530><13531><13532><13533><13534><13535><13536><13537><13538><13539><13540><13541><13542><13543><13544><13545><13546><13547><13548><13549><13550><13551><13552><13553><13554><13555><13556><13557><13558><13559><13560><13561><13562><13563><13564><13565><13566><13567><13568><13569><13570><13571><13572><13573><13574><13575><13576><13577><13578><13579><13580><13581><13582><13583><13584><13585><13586><13587>"
"The Secret Of Spiritual Body","Text","Cetakan Tahun 2009","61-10-042-0","Penerbit Erlangga","2009","Agama","","","Indonesia","jakarta","NONE","","","","<Samsul Hidayat>","","<16072><16073>"
"Kamus Istilah Populer Islam","Text","Cetakan Tahun 2013","008-413-003-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<M. Iqbal Damawi>","","<16070><16071>"
"Bimbingan Karier Untuk Pelajar Muslim","Text","Cetakan Tahun 2013","008-207-007-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<Tuwuh Trisnayadi>","","<16069><16068>"
"Himpunan Fatwa MUI Bidang Akidah Dan Aliran Keagamaan","Text","Cetakan Tahun 2015","808-207-005-0","Penerbit Erlangga","2015","Agama","","","Indonesia","jakarta","NONE","","","","<K.H. Ma\'ruf Amin><Drs. H. M. Ichwan Sam><Drs. H. Zainut Tauhid Sa\'adi><Prof. Dr. H. Hasanuddin AF, MA><Dr. H. Hasanudin, M.Ag><Dr. H. M. Asrorun Ni\'am Sholeh, MA>","","<16049><16050><16051><16067>"
"Aswaja Pedoman Untuk Pelajar, Guru, dan Warga NU","Text","Cetakan Tahun 2017","808-370-001-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<Dr. K.H. Asep Saifuddin Chalim, M.A.>","","<16066>"
"Pendidikan Karakter Islami Untuk SMP","Text","Cetakan Tahun 2013","008-158-001-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<Dr. Ibnu Burdah,M.A.>","","<16065>"
"Pendidikan Karakter Islami Untuk SMA","Text","Cetakan Tahun 2013","004-158-001-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<Dr. Ibnu Burdah,M.A.>","","<16062><16063><16064>"
"Bisikan Nurani Seorang Jenderal","Text","Cetakan Tahun 1997","","Penerbit Mizan","1997","Sejarah","","","Indonesia","Bandung","NONE","","","","<A. H. Nasution>","","<16061>"
"Al - Ihkam Jurnal Hukum Dan Pranata Sosial","Text","Vol. V No.1 Juni 2010","1907-591X","Jurusan Syariah Sekolah Tinggi Agama Islam Negeri","2010","Agama","","","Indonesia","Pamekasan","NONE","","","","<Siti Mashitoh Mahamood><Maimun Nawawi><Juhari>","","<16060>"
"Mengupas Ibadah Dan Hikmahnya Jilid 2","Text","Cetakan Tahun 2009","978-602-3168-78-1","PT Albama","2009","Agama","","","Indonesia","jakarta","NONE","","","","<Drs. Zaenuri Siroj><Drs. H. Ah. Adib Al Arif, M.Ag.>","","<16059>"
"Jejak Langkah Sejarah Pemikiran Ekonomi Islam","Text","Cetakan Tahun 2010","978-602-8764-75-9","Pustaka Pelajar","2010","Agama","","","Indonesia","Yogyakarta","NONE","","","","<Drs. Nur Chamid, MM>","","<16058>"
"Panduan Shalat Lengkap Dan Praktis","Text","Cetakan Tahun 2012","008-207-006-0","Penerbit Erlangga","2012","Agama","","","Indonesia","jakarta","NONE","","","","<KH. Muhammad Sholikhin>","","<16057>"
"Panduan Shalat Sunnah Terlengkap","Text","Cetakan Tahun 2013","008-207-011-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<KH. Muuhammad Sholikhin>","","<16055><16056>"
"Panduan Puasa Terlengkap","Text","Cetakan Tahun 2014","008-207-012-0","PT Gelora Aksara Pratama","2014","Agama","","","Indonesia","jakarta","NONE","","","","<Efri A Al- Bakary>","","<16053><16054>"
"Himpunan Fatwa MUI Bidang Ibadah","Text","Cetakan Tahun 2015","808-2070-006-0","Penerbit Erlangga","2015","Agama","","","Indonesia","jakarta","NONE","","","","<K.H. Ma\'ruf Amin><Drs. H. M. Ichwan Sam><Drs. H. Zainut Tauhid Sa\'adi><Prof. Dr. H. Hasanuddin AF, MA><Dr. H. Hasanudin, M.Ag><Dr. H. M. Asrorun Ni\'am Sholeh, MA>","","<16052>"
"Himpunan Fatwa MUI Bidang Sosial Dan Budaya","Text","Cetakan Tahun 2015","808-207-007-0","Penerbit Erlangga","2015","Agama","","","Indonesia","jakarta","NONE","","","","<K.H. Ma\'ruf Amin><Drs. H. M. Ichwan Sam><Drs. H. Zainut Tauhid Sa\'adi><Prof. Dr. H. Hasanuddin AF, MA><Dr. H. Hasanudin, M.Ag><Dr. H. M. Asrorun Ni\'am Sholeh, MA>","","<16047><16048>"
"Himpunan Fatwa MUI Bidang POM Dan IPTEK","Text","Cetakan Tahun 2015","808-207-004-0","Penerbit Erlangga","2015","Agama","","","Indonesia","jakarta","NONE","","","","<K.H. Ma\'ruf Amin><Drs. H. M. Ichwan Sam><Drs. H. Zainut Tauhid Sa\'adi><Prof. Dr. H. Hasanuddin AF, MA><Dr. H. Hasanudin, M.Ag><Dr. H. M. Asrorun Ni\'am Sholeh, MA>","","<16045><16046>"
"Himpunan Fatwa Keuangan Syariah","Text","Cetakan Tahun 2014","008-207-008-0","Penerbit Erlangga","2014","Agama","","","Indonesia","jakarta","NONE","","","","<Drs. H. M. Ichwan Sam><Dr. H. Hasanudin, M.Ag><H. Cecep Maskanul Hakim, M. Ec.><Dr. H. Setiawan Budi Utomo><Dr. H. Endy M. Astiwara, MA, AAAIC>","","<16041><16042><16043><16044>"
"Himpunan Fatwa MUI","Text","EDISI TERBARU","008-205-002-0","Penerbit Erlangga","2015","Agama","","","Indonesia","jakarta","NONE","","","","<K.H. Ma\'ruf Amin><Drs. H. M. Ichwan Sam><Drs. H. Zainut Tauhid Sa\'adi><Prof. Dr. H. Hasanuddin AF, MA><Dr. H. Hasanudin, M.Ag><Dr. H. M. Asrorun Ni\'am Sholeh, MA>","","<16037><16038><16039><16040>"
"Prinsip - Prinsip Ekonomi Islam","Text","Cetakan Tahun 2012","007-330-013-0","PT Gelora Aksara Pratama","2012","Agama","","","Indonesia","Surakarta","NONE","","","","<Lukman Hakim, SE., MSi>","","<16022><16023><16024><16025><16026><16027><16028><16029><16030><16031><16032><16033><16034><16035><16036>"
"Ini Jalanku ,Da'i Kamtibmas Sebuah Pengabdian","Text","Cetakan Ke-1","978-602-0894-42-3","Tinta Medina","2016","Agama","","","Indonesia","Solo","NONE","","","","<Hamka Mahmud>","","<16013><16014>"
"Fadhailul A'mal  Kumpulan Hadits Keutamaan","Text","Cetakan Ke-1","978-602-9211-07-8","Tinta Medina","2014","Agama","","","Indonesia","Solo","NONE","","","","<Sami Muhammad>","","<16019><16020><16021>"
"Kimia 1 Peminatan Kelas X Edisi Revisi","Text","EDISI REVISI","978-979-040-225-6","PT. Wangsa Jatra Lestari","2016","Kimia","","","Indonesia","Solo","NONE","","","","<Endang Susilowati><Tarti Harjani>","","<14735><14734><14733><14732><14731><14730><14729><14728><14727><14726><14725><14724><14723><14722><14721><14720><14719><14718><14717><14716><14715><14714><14713><14712><14711><14710><14709><14708><14707><14706><14705><14704><14703><14702><14701><14700><14699><14698><14697><14696><14695><14694><14693><14692><14691><14690><14689><14688>"
"Kimia 1 Peminatan Kelas X Kurikulum 2013","Text","KURIKULUM 2013","978-602-298-838-0","PT. Gelora Aksara Pratama","2016","Kimia","","","Indonesia","Surakarta","NONE","","","","<Drs. Unggul Sudarmo, M.Pd.>","","<14684><14683><14682><14681><14680><14679><14678><14677><14676><14675><14674><14673><14672><14671><14670><14669><14668><14667><14666><14665><14664><14663><14662><14661><14660><14659>"
"Biologi 1 Kelas X","Text","EDISI REVISI","978-979-040-206-5","PT Wangsa Jatra Lestari","2016","Biologi","","","Indonesia","Solo","NONE","","","","<Henny Riandari><Ifandari>","","<14657><14656><14655><14654><14653><14652><14651><14650><14649><14648><14647><14646><14645><14644><14643><14642><14641><14640><14639><14638><14637><14636><14635><14634><14633><14632><14631><14630><14629><14628><14627><14626><14625><14624><14623><14622><14621><14620><14619><14618><14617><14616><14615><14614><14613><14612><14611><14610><14609><14608><14607><14606><14605><14604><14603><14602><14601><14600><14599><14598><14597><14596><14595><14594><14593><14592><14591><14590><14589><14588><14587><14586><14585><14584><14583><14582><14581><14580><14579><14578><14577><14576><14575><14574><14573><14572><14571><14570><14569><14568><14567><14566><14565><14564><14563><14562><14561><14560><14559><14558><14557>"
"Prakarya dan Kewirausahaan Kelas X Semester 2","Text","Cetakan Ke-3, 2017","978-602-427-153-4","Pusat Kurikulum dan Perbukuan","2017","Prakarya dan Kewirausahaan","","","Indonesia","jakarta","NONE","","","","<Hendriana Werdhaningsih><Rinrin Jamriati><Alberta Haryudanti><Desta Wirmas>","","<14504><14503><14502><14501><14500><14499><14498><14497><14496><14495><14494><14493><14492><14491><14490><14489><14505><14506><14507><14508><14509><14510><14511><14512><14513><14514><14515><14516><14517><14518><14519><14520><14521><14522><14523><14524><14525><14526><14527><14528><14529><14530><14531><14532><14533><14534><14535><14536><14537><14538><14539><14540><14541><14542><14543><14544><14545><14546><14547><14548><14549><14550><14551><14552><14553><14554><14555><14556>"
"Kitab Obat Hijau","Text","Cetakan Ke-1, 2013","978-979-045-796-6","Tinta Medina","2013","Kesehatan","","","Indonesia","Solo","NONE","","","","<Prof. Dr. Abdul Basith Muhammad As-Sayyid>","","<16018><16017><16016>"
"Tarjamah Al-Qur'an Al-Hakim","Text","Cetakan Ke-1, 2001","","CV. Sahabat Ilmu Surabaya","2001","Agama","","","Indonesia","Surabaya","NONE","","","","","","<16015>"
"Keimanan Guru Pengusaha","Text","Cetakan Ke-1, 1997","979-8679-03-2","Yudhagama","1997","Agama","","","Indonesia","jakarta","NONE","","","","<H. Probosutedjo>","","<16012>"
"Mushaf At-Taisir","Text","Cetakan Ke-1, 2014","978-602-257-602-0","PT Tiga Serangkai Pustaka Mandiri","2014","Agama","","","Indonesia","Solo","NONE","","","","<Kementrian Agama Republik Indonesia>","","<16011><16010>"
"Terjemah Tafsir Al-Maragi Juz 22","Text","Cetakan Ke-2, 1992","","CV Toha Putra Semarang","1992","Agama","","","Indonesia","Semarang","NONE","","","","<Ahmad Mustofa Al-Maragi>","","<16008>"
"Terjemah Tafsir Al-Maragi Juz 16","Text","Cetakan Ke-2, 1993","","CV Toha Putra Semarang","1993","Agama","","","Indonesia","Semarang","NONE","","","","<Ahmad Mustofa Al-Maragi>","","<16009>"
"Terjemah Tafsir Al-Maragi Juz 25","Text","Cetakan Ke-3, 1993","","CV Toha Putra Semarang","1993","Agama","","","Indonesia","Semarang","NONE","","","","<Ahmad Mustofa Al-Maragi>","","<16006>"
"Terjemah Tafsir Al-Maragi Juz 28","Text","Cetakan Ke-1, 1986","","CV Toha Putra Semarang","1986","Agama","","","Indonesia","Semarang","NONE","","","","<Ahmad Mustofa Al-Maragi>","","<16007>"
"Al-Qur'an Terjemah Indonesia","Text","Cetakan Ke-11, 1997","","PT Sari Agung","1997","Agama","","","Indonesia","jakarta","NONE","","","","<Drs. H.A. Nazri Adlany><Drs. H.Hanafie Tamam><Drs. H.A. Faruq Nasution>","","<16005>"
"Tarjamah Tanbiihul Ghafilin","Text","","","Balai Buku","1995","Agama","","","Indonesia","Surabaya","NONE","","","","<Achmad Sunarto>","","<16004>"
"Fadhailul A'mal","Text","Cetakan Ke-1, 2014","978-979-045-115-1","Tinta Medina","2014","Agama","","","Indonesia","Solo","NONE","","","","<Sami Muhammad>","","<16003><16002><15994>"
"Ensiklopedia Akhlak Mulia","Text","Cetakan Ke-1","978-602-257-117-9","Tinta Medina","2015","Agama","","","Indonesia","Solo","NONE","","","","<Abdillah Firmanzah Hasan>","","<16001><15974><15975>"
"Tarjamah Riadhus Shalihin","Text","Cetakan Ke-9, 1986","","PT Al Maarif Bandung","1986","Agama","","","Indonesia","Bandung","NONE","","","","<Salim Bahreisy>","","<16000><15999>"
"Hukum Zakat","Text","Cetakan Ke-5, 1999","979-8100-34-4","Litera AntarNusa","1999","Agama","","","Indonesia","jakarta","NONE","","","","<DR. Yusuf Qardawi>","","<15998><15997><15996><15995>"
"Al-Qur'an Dan Terjemahnya","Text","Cetakan Ke-3, 2013","978-979-084-527-5","PT Tiga Serangkai Pustaka Mandiri","2013","Al-Qur'an","","","Indonesia","Solo","NONE","","","","<Kementrian Agama Republik Indonesia>","","<15993><15992><15991><15990><15989><15988><15987><15984><15985><15986>"
"Al-Qur'an The Great Miracle","Text","Cetakan Ke-1, 2013","978-602-257-339-5","PT Tiga Serangkai Pustaka Mandiri","2013","Al-Qur'an","","","Indonesia","Solo","NONE","","","","<Kementrian Agama Republik Indonesia>","","<15982><15983>"
"Al-Qur'an Dan Terjemahannya","Text","","","","","Al-Qur'an","","","Indonesia","","NONE","","","","<Kementrian Agama Republik Indonesia>","","<15979><15980><15981>"
"Mushaf Al-Busyra","Text","Cetakan Ke-1, 2018","978-602-320-393-2","PT Tiga Serangkai Pustaka Mandiri","2018","Agama","","","Indonesia","Solo","NONE","","","","<Kementrian Agama Republik Indonesia>","","<15976><15977><15978>"
"Sirah Rasulullah SAW : Perjalanan Hidup Manusia Mulia","Text","Cetakan Ke-1","978-602-257-708-9","Tinta Medina","2014","Agama","","","Indonesia","Solo","NONE","","","","<Syekh Mahmud Al-Mishri>","","<15971><15972><15973>"
"Pendidikan Pancasila dan Kewarganegaraan Kelas XII (Buku Guru)","Text","Cetakan Ke-2, 2018","978-602-427-094-0","Pusat Kurikulum dan Perbukuan","2018","Buku Guru","","","Indonesia","jakarta","NONE","","","","<Mohamad Sodeli><Yusanawan Lubis>","","<11123><11124><11125>"
"Sosiologi 3 Kelas  XII (Buku Guru)","Text","Kurikulum 2013","978-979-040-405-2","PT Wangsa Jatra Lestari","2014","Buku Guru","","","Indonesia","Solo","NONE","","","","<Dwi Mulyono><Rizal Qosim>","","<11130>"
"Tata cara Berlalu Lintas di Indonesia","Text","","","","2002","Referensi","","","Indonesia","Surabaya","NONE","","","","<Dinas Lalu Lintas dan Angkutan JAlan Provinsi Jawa Timur>","","<30777><30891>"
"Psikologi Klinis","Text","","978-979-099-194-1","Penerbit Erlangga","2011","Umum","","","Indonesia","jakarta","NONE","","","","<Johana E. Prawitasari>","","<30890>"
"Beladiri","Text","","978-979-1409-48-3","Insan Mandiri","2007","olahraga","","","Indonesia","Yogyakarta","NONE","","","","<Gugun Arief Gunawan>","","<30889>"
"Jurnal Ilmiah Kebahasaan","Text","juni 2014","1907-1787","Balai Bahasa Provinsi Jawa Timur","2014","Jurnal","","","Indonesia","Buduran, Sidoarjo","NONE","","","","","","<30888>"
"Antropologi Mengungkap Keragaman Budaya untuk Kelas Menengah Atas/ Madrasah Aliyah Program Bahasa","Text","","978-979-9255-97-6","PT Setia Purna Inves","2007","Antropologi","","","Indonesia","Bandung","NONE","","","","<Tedi Sutardi>","","<30885>"
"bahasa di Balik Pencakar Langit","Text","","979-534-346-7","Pakar Raya Pakarnya Pustaka","2007","Fisika","","","Indonesia","Bandung","NONE","","","","<Bobbi Searie>","","<30884>"
"Bahasa di Balik Pesawat Jet","Text","","979-534-344-0","Pakar Raya Pakarnya Pustaka","2007","Fisika","","","Indonesia","Bandung","NONE","","","","<Chris Woodford>","","<30883>"
"Bahasa di Balik Satelit","Text","","979-534-573-4","Pakar Raya Pakarnya Pustaka","2006","Fisika","","","Indonesia","Bandung","NONE","","","","<Colin Uttley>","","<30882>"
"Panduan Para Pengajar dan Inovator pendidikan Desain Instruksional Modern","Text","","978-979-099-970-1","Penerbit Erlangga","2012","Umum","","","Indonesia","jakarta","NONE","","","","<M. Atwi Suparman>","","<30881>"
"Mengenal Sistem Informasi Geografis dan Manfaatnya","Text","","602-9122-86-2","Saka Mitra Kompetensi","2015","Geografi","","","Indonesia","Klaten","NONE","","","","<Nur Fitriana Sari>","","<30880>"
"Psikologi Pendidikan Membantu Siswa Tumbuh dan Berkembang","Text","keenam, jilid pertama","978-979-075-563-5","Penerbit Erlangga","2008","Referensi","","","Indonesia","jakarta","NONE","","","","<Jeanne Ellis Ormrod>","","<30497><30878><30879>"
"Hijabpreneur","Text","","978-602-6328-18-2","Metagraf, Creative Imprint  of Tiga Serangkai","2016","Referensi","","","Indonesia","Solo","NONE","","","","<Silka Mitrasari>","","<30877>"
"Public Speaking","Text","","979-683-826-5","PT. Indeks","2009","Bahasa Inggris","","","Indonesia","Jakarta Barat","NONE","","","","<Helena Olii>","","<30876>"
"At a Glance Kimia Organik","Text","","978-979-075-089-0","Penerbit Erlangga","2009","Kimia","","","Indonesia","jakarta","NONE","","","","<L.M. Harwood, J.E. McKendrick><R.C Whitehead>","","<30875>"
"Mahir Menulis "Kiat Jitu Menulis Artikel Opini, Kolom dan Resensi Buku"","Text","","978-979-075-288-7","Penerbit Erlangga","2009","Bahasa Indonesia","","","Indonesia","jakarta","NONE","","","","<Prof. mudrajat Kuncoro, Ph.D>","","<30869><30870><30871><30872><30873><30874>"
"Metode Penulisan Ilmiah Teknik Penulisan :Esai, Skripsi, Tesis, dan Disertasi untuk Mahasiswa","Text","","978-602-241-995-2","Penerbit Erlangga","2014","Bahasa Indonesia","","","Indonesia","jakarta","NONE","","","","<William Chang>","","<30867><30868>"
"Menjadi Guru Profesional (Strategi Meningkatkan Kualifikasi dan Kualitas Guru di Era Global","Text","","978-602-7596-50-4","Esensi Erlangga Group","2013","Referensi","","","Indonesia","jakarta","NONE","","","","<Prof. Suyanto, Ph.D>","","<30866>"
"Rekam Jejak Perkembangan Geometri Dari Geometri Eunclid Hingga Non-Enclid","Text","","979-28-1171-1","PT Macana Jaya Cemerang","2018","Referensi","","","Indonesia","Klaten","NONE","","","","<Agung Prabowo>","","<30538><30865>"
"Mengangkat Citra dan Martabat Guru","Text","","979-507-278-1","Adicita Karya Nusa","1999","Referensi","","","Indonesia","Yogyakarta","NONE","","","","<Dr. Dedi Supriadi>","","<30862><30863><30864>"
"Fotografer Hijabed Woman Creativity","Text","","978-602-6328-45-8","PT. Tiga Serangkai Pustaka Mandiri","2017","Referensi","","","Indonesia","Solo","NONE","","","","<Fatma Risma Sari>","","<30498><30860><30861>"
"132  Tanya Jawab Problema Muslimah","Text","Cetakan Pertama: September 2017","978-602-0894-77-5","Tinta Medina, Creative Imprint of Tiga Serangkai","2017","Referensi","","","Indonesia","Solo","NONE","","132_Tanya_Jawab-_Poblema_Muslimah.jpg.jpg","","<Syekh 'Athiyah Shaor>","","<30858><30859>"
"Fashion designer (Hijabed Women's Creativity)","Text","","978-602-6328-46-5","PT Tiga Serangkai Putaka Mandiri","2018","Referensi","","","Indonesia","Solo","NONE","","","","<Fitri Aulia>","","<10212><30857>"
"Menciptakan Balanced Scorecard untuk Organisasi Jasa Keuangan","Text","","978-979-099-766-0","Esensi Erlangga Group","2012","Ekonomi","","","Indonesia","jakarta","NONE","","","","<Naresh Makhijani><James Creelman>","","<30856>"
"Bioteknologi dalam peningkatan pangan","Text","","978-602-8180-33-7","Artha Rivera","2008","Biologi","","","Indonesia","Jakarta Barat","NONE","","","","<Sihabul Milla>","","<30855>"
"Sastrawan Angkatan 45","Text","","978-979-067-057-0","PT. Sindur Press","2017","Referensi","","","Indonesia","Semarang","NONE","","","","<Agus Maryoto>","","<30854>"
"Kata Dan Rasa rnSekelumit Ispirasi Untuk Pendidik","Text","","978-602-6847-62-1","Esensi Erlangga Group","2018","Referensi","","","Indonesia","jakarta","NONE","","Kata_Dan_Rasa_Sekelumit_Ispirasi_Untuk_Pendidik.jpg.jpg","","<M. Husin>","","<30641><30853>"
"Tell To Win (Persuasi Dahsyat Lewat Kekuatan Cerita)","Text","","978-602-7596-14-6","Esensi Erlangga Group","2012","Referensi","","","Indonesia","jakarta","NONE","","","","<Peter Guber>","","<30852>"
"psikologi Sosial Aku, Kami dan Kita","Text","","978-602-434-328-6","Penerbit Erlangga","2016","Referensi","","","Indonesia","jakarta","NONE","","","","<Komaruddin Hidayat><Khoiruddin Bashori>","","<30851>"
"Bahasa Perancis ( Mendengarkan, Berbicara, Membaca, Menulis )","Text","4","","Penerbit Erlangga","1999","Referensi","","","Indonesia","jakarta","NONE","","","","<Thomas H. Brown>","","<30850>"
"The Golden Storiesrn150 Mozaik Mencerahkan Sepanjang Sejarah","Text","Cetakan Pertama: Mei 2017","978-602-0894-62-1","Tinta Medina, Creative Imprint of Tiga Serangkai","2017","Referensi","","","Indonesia","Solo","NONE","","The_Goldesn_Stories.jpg.jpg","","<Fuad Abdurahman><Abdullah Nur>","","<10582><30849>"
"150 Perempuan ShalihahrnTeladan Muslimah Sepanjang Masa","Text","Cetakan Pertama: Maret 2015","978-602-9211-02-3","Tinta Medina, Creative Imprint of Tiga Serangkai","2015","Referensi","","","Indonesia","Solo","NONE","","150_Perempuan_Shalihah.jpg.jpg","","<Abu Malik Muhammad Bin Hamid>","","<30846><30847><30848>"
"Ini Jalanku, Da'i Kamtibmas Sebuah Pengabdian","Text","Cetakan Kedua: Desember 2018","978-602-0894-42-3","Tinta Medina, Creative Imprint of Tiga Serangkai","2018","Referensi","","","Indonesia","Solo","NONE","","Ini_Jalanku,_Da'i_Kamtibmas_Sebuah_Pengabdian.jpg.jpg","","<Hamka Mahmud>","","<30845>"
"Teori-Teori Belajar dan Pembelajaran","Text","","978-979-099-191-0","Penerbit Erlangga","2011","Referensi","","","Indonesia","jakarta","NONE","","","","<Prof. Dr. Ratna Wilis Dahar, M.Sc>","","<30844>"
"Biologi SMA kelas 3 ( Berbagai Ekosistem di Dunia )","Text","","","PT. Hambert Duta Transparansi Sejahrtera","","Biologi","","","Indonesia","jakarta","NONE","","","","","","<30843>"
"Laboratory Manual Prentice-Hall Biology","Text","","0-13-700386-2","United Sate of Ameica","1987","Biologi","","","Indonesia","America","NONE","","","","<Carol D. Hampton>","","<30840>"
"Seri Eyewitness Pohon (Temukanlah dunia pohon yang mempesona - struktur, jenis dan siklus hidupnya, dari bij hingga ke pohon raksasa)","Text","","0-86318-286-0","PT . Betara Antar Asia","1992","Biologi","","","Indonesia","","NONE","","","","<Dorling kindersley Limited><Editions gallimard>","","<30839>"
"Pustaka Sains Tersambung - Internet Material","Text","","979-534-353-X","Pakar Raya Pakarnya Pustaka","2001","Biologi","","","Indonesia","Bandung","NONE","","","","<Alastair Smith><Phillip Clarke><Corinne Henderson>","","<30838>"
"Produk Rekayasa Genetika","Text","","979-659-503-2","PT Grasindo","2001","Biologi","","","Indonesia","jakarta","NONE","","","","<dr. drh Mangku Sitepoe>","","<30837>"
"SETS ( Science, Environment, Technology, Society ) Dunia Hewan dan Dunia Tumbuhan","Text","","979-26-1733-1","Armandelta Selaras","2006","Biologi","","","Indonesia","jakarta","NONE","","","","<Prof. Dr. Wahyudin, M.Pd>","","<30818><30836>"
